conv_id,line_id,content
0,0,So please finish
0,1,Percival for next time.
0,2,I know many of you had
0,3,this as undergraduates
0,4,but it won't hurt to brush up.
0,5,Thank you Steven.
0,6,I also put an advanced
0,7,Fourier system
0,8,on the main hallway chalkboard.
0,9,I'm hoping that one of you
0,10,might prove it by the
0,11,end of the semester.
0,12,Now the person to do so will
0,13,not only be in my good graces...
0,14,but also go on to
0,15,fame and fortune...
0,16,by having their accomplishment
0,17,recorded and their name printed...
0,18,in the auspicious M.I.T. Tech.
0,19,Former winners include
0,20,Nobel laureates
0,21,Field's medal winners...
0,22,renowned astrophysicists
0,23,and lowly M.I.T. professors.
0,24,Well that's all.
0,25,If you have any questions...
0,26,I'm sure that Tom
0,27,has the answers.
1,0,Hi Will.
1,1,Kirsten how you doing?
1,2,I'm all right. How are you?
1,3,Good.
1,4,I didn't get on
1,5,Cathy last night.
1,6,No?
1,7,No.
1,8,Why not?
1,9,I don't know.
1,10,Cathy!
1,11,What?
1,12,Why didn't you give me none of that
1,13,nasty little hoochie-woochie...
1,14,you usually throw at me?
1,15,Oh fuck you...
1,16,and your Irish curse Chuckie.
1,17,Like I'd waste my
1,18,energy spreading my legs
1,19,for that Tootsie Roll dick?
1,20,Go home and give it a tug yourself.
1,21,Tootsie Roll!
1,22,T-Toots!
1,23,She's missing a tooth Will.
1,24,She's got skin problems.
1,25,I don't...
1,26,Plus it's like 5-to-2
1,27,Morgan ends up marrying her
1,28,you know what I mean?
1,29,There's only so many times
1,30,you can bang your
1,31,friend's future wife.
1,32,It's wrong.
1,33,Where you going?
1,34,I'm gonna take off.
1,35,Fuck you you're taking off.
1,36,It's like what 10:00?
1,37,No I'm tired.
1,38,Irish curse?
1,39,She don't know.
1,40,There ain't no Irish curse.
2,0,Out! Stop pressuring me back.
2,1,Stop crowding the plate!
2,2,Which one will it be?
2,3,You're gonna get
2,4,charged you know that?
2,5,You think I'm afraid
2,6,of you you big fuck?
2,7,You're crowding
2,8,the fuckin' plate.
2,9,Hey uh Casey's bouncing up
2,10,a bar at Harvard next week.
2,11,We should go up there.
2,12,What are we gonna do up there?
2,13,I don't know.
2,14,We'll fuck up some smart kids.
2,15,Probably fit right in.
2,16,Ow! Fuckin' punk.
2,17,Oh what's up? You still tough?
2,18,Come on!
2,19,Come on. Come on. That's it.
3,0,Professor Lambeau?
3,1,Yes?
3,2,I'm in your applied
3,3,theories class.
3,4,We're all up at the math
3,5,and science building.
3,6,Come here.
3,7,It's Saturday.
3,8,Unless you wanna have a
3,9,drink with me tonight.
3,10,Maybe.
3,11,We just couldn't wait
3,12,until Monday to find out.
3,13,Find out what?
3,14,Who proved the theorem.
4,0,This is correct.
4,1,Who did this?
4,2,Jack?
4,3,It wasn't me.
4,4,Nemesh?
4,5,N-No way.
4,6,Come on Joey now!
4,7,Billy McNamara's up.
4,8,Come on kid!
4,9,Joey dig it out! Dig it out!
4,10,Son of a bitch!
4,11,Bring it down Mac!
4,12,That's how to do it! Attaboy!
4,13,Take two Mac.
4,14,Hey Morgan
4,15,who's the girl with the striped pants?
4,16,She's got a nice ass.
4,17,Yeah that's a real nice ass.
4,18,Who's the guy she's with?
4,19,That fuckin' guinea. I hate that
4,20,little bitch. Will knows him.
4,21,Yeah I do.
4,22,Yeah fuckin'
4,23,Carmine Scarpaglia.
4,24,That guy used to beat shit
4,25,out of me in kindergarten.
4,26,That guy?
4,27,Yeah.
4,28,Fuck this. Let's get some food.
4,29,Oh what Morgan you're
4,30,not gonna go talk to her?
4,31,Fuck her.
4,32,I could go for a Whopper.
4,33,Let's go to Kelly's.
4,34,Morgan I'm not goin' to Kelly's
4,35,just 'cause you like
4,36,the take-out girl.
4,37,It's 15 minutes out of our way.
4,38,What the fuck we gonna do?
4,39,We can't spare 15 minutes.
4,40,Double burger.
4,41,Double burger.
4,42,Chuck I had a double burger.
4,43,Would you shut the fuck up!
4,44,I know what you ordered.
4,45,I was there.
4,46,So give me my fuckin' sandwich.
4,47,What do you mean your sandwich?
